ID, created_at, vehicle, latitude, longitude, 52.508002, 13.496743
"657eb0d2-2b47-4024-8e2d-5f6722bc9952","2021-12-19T06:45:51Z","escooter",52.508046,13.498906, 52.508002, 13.498380
"96cff0c4-cc36-4fb4-961f-796ad06ef950","2021-12-19T06:44:43Z","escooter",52.508765,13.497643, 52.508002, 13.496743
"d29bc69f-4416-4202-a224-3a3b85894568","2021-12-19T06:44:38Z","escooter",52.508203,13.495939, 52.508002, 13.495106
"c3727a54-74dd-4df4-b3a8-9e9959d85d42","2021-12-19T06:43:28Z","escooter",52.50827,13.495833, 52.508002, 13.495106
"657eb0d2-2b47-4024-8e2d-5f6722bc9952","2021-12-19T07:35:54Z","escooter",52.508046,13.498906, 52.508002, 13.498380
"96cff0c4-cc36-4fb4-961f-796ad06ef950","2021-12-19T07:39:24Z","escooter",52.508765,13.497643, 52.508002, 13.496743
"c3727a54-74dd-4df4-b3a8-9e9959d85d42","2021-12-19T07:33:31Z","escooter",52.50827,13.495833, 52.508002, 13.495106
"d29bc69f-4416-4202-a224-3a3b85894568","2021-12-19T07:38:39Z","escooter",52.508203,13.495939, 52.508002, 13.495106
"96cff0c4-cc36-4fb4-961f-796ad06ef950","2021-12-19T08:44:50Z","escooter",52.508765,13.497643, 52.508002, 13.496743
"c3727a54-74dd-4df4-b3a8-9e9959d85d42","2021-12-19T08:43:35Z","escooter",52.50827,13.495833, 52.508002, 13.495106
"d29bc69f-4416-4202-a224-3a3b85894568","2021-12-19T08:44:45Z","escooter",52.508203,13.495939, 52.508002, 13.495106
"657eb0d2-2b47-4024-8e2d-5f6722bc9952","2021-12-19T08:45:58Z","escooter",52.508046,13.498906, 52.508002, 13.498380
"657eb0d2-2b47-4024-8e2d-5f6722bc9952","2021-12-19T09:38:04Z","escooter",52.508046,13.498906, 52.508002, 13.498380
"d29bc69f-4416-4202-a224-3a3b85894568","2021-12-19T09:34:48Z","escooter",52.508203,13.495939, 52.508002, 13.495106
"c3727a54-74dd-4df4-b3a8-9e9959d85d42","2021-12-19T09:36:28Z","escooter",52.50827,13.495833, 52.508002, 13.495106
"96cff0c4-cc36-4fb4-961f-796ad06ef950","2021-12-19T09:43:24Z","escooter",52.508765,13.497643, 52.508002, 13.496743
"6d1b7886-0f6d-4981-b71a-1e0078d4823c","2021-12-19T15:45:36Z","escooter",52.508663,13.497405, 52.508002, 13.496743
"052da087-e38e-41a6-b863-681ff8420ec6","2021-12-19T15:42:45Z","escooter",52.510302,13.499333, 52.509312, 13.498380
"d29bc69f-4416-4202-a224-3a3b85894568","2021-12-19T15:45:11Z","escooter",52.508203,13.495939, 52.508002, 13.495106
"96cff0c4-cc36-4fb4-961f-796ad06ef950","2021-12-19T15:45:15Z","escooter",52.508765,13.497643, 52.508002, 13.496743
"c3727a54-74dd-4df4-b3a8-9e9959d85d42","2021-12-19T15:40:33Z","escooter",52.508182,13.495725, 52.508002, 13.495106
"657eb0d2-2b47-4024-8e2d-5f6722bc9952","2021-12-19T15:46:24Z","escooter",52.508046,13.498906, 52.508002, 13.498380
