ID, created_at, vehicle, latitude, longitude
"1|65906|1|86|9122023","2023-12-09T07:39:00+01:00","21",52.511953,13.497654
"1|1664|0|86|9122023","2023-12-09T07:40:00+01:00","S5",52.510676,13.498355
"1|59349|1|86|9122023","2023-12-09T07:40:00+01:00","RB32",52.510676,13.498355
"1|29067|1|86|9122023","2023-12-09T07:42:00+01:00","256",52.511953,13.497654
"1|1813|4|86|9122023","2023-12-09T07:43:00+01:00","S5",52.510676,13.498355
"1|27707|2|86|9122023","2023-12-09T07:45:00+01:00","240",52.510389,13.49947
"1|2022|2|86|9122023","2023-12-09T07:46:00+01:00","S7",52.510676,13.498355
"1|48195|0|86|9122023","2023-12-09T07:46:00+01:00","U5",52.511135,13.498499
"1|30774|1|86|9122023","2023-12-09T07:47:00+01:00","296",52.510389,13.49947
"1|2173|0|86|9122023","2023-12-09T07:48:00+01:00","S7",52.510676,13.498355
"1|48293|4|86|9122023","2023-12-09T07:48:00+01:00","U5",52.511135,13.498499
"1|2177|2|86|9122023",,"S7",52.510676,13.498355
"1|65872|0|86|9122023","2023-12-09T08:39:00+01:00","21",52.511953,13.497654
"1|1670|0|86|9122023","2023-12-09T08:40:00+01:00","S5",52.510676,13.498355
"1|29067|4|86|9122023","2023-12-09T08:41:00+01:00","256",52.511953,13.497654
"1|59350|1|86|9122023","2023-12-09T08:41:00+01:00","RB32",52.510676,13.498355
"1|1818|1|86|9122023","2023-12-09T08:43:00+01:00","S5",52.510676,13.498355
"1|27707|5|86|9122023","2023-12-09T08:46:00+01:00","240",52.510389,13.49947
"1|2022|5|86|9122023","2023-12-09T08:46:00+01:00","S7",52.510676,13.498355
"1|48168|1|86|9122023","2023-12-09T08:46:00+01:00","U5",52.511135,13.498499
"1|30774|4|86|9122023","2023-12-09T08:47:00+01:00","296",52.510389,13.49947
"1|48268|4|86|9122023","2023-12-09T08:48:00+01:00","U5",52.511135,13.498499
"1|2266|2|86|9122023",,"S75",52.510676,13.498355
"1|59349|2|86|9122023",,"RB32",52.510676,13.498355
"1|2280|1|86|9122023",,"S75",52.510676,13.498355
"1|2177|5|86|9122023",,"S7",52.510676,13.498355
"1|70526|0|86|9122023","2023-12-09T09:39:00+01:00","RB26",52.510676,13.498355
"1|29096|1|86|9122023","2023-12-09T09:39:00+01:00","256",52.511953,13.497654
"1|1665|1|86|9122023","2023-12-09T09:40:00+01:00","S5",52.510676,13.498355
"1|48217|0|86|9122023","2023-12-09T09:41:00+01:00","U5",52.511135,13.498499
"1|30765|1|86|9122023","2023-12-09T09:42:00+01:00","296",52.510389,13.49947
"1|29050|0|86|9122023","2023-12-09T09:43:00+01:00","256",52.511953,13.497654
